年,月,日,时,分,秒,近地面空气温度,冠层上方空气温度,近地面空气湿度,冠层上方空气湿度,近地面风速,冠层上方风速,风向,大气压,光合有效辐射,向下的短波辐射,向上的短波辐射,向下的长波辐射,向上的长波辐射,净辐射,一层土壤温度,二层土壤温度,一层土壤体积含水量,二层土壤体积含水量,三层土壤体积含水量,降水量
/,/,/,/,/,/,℃,℃,%,%, m s-1,m s-1,Deg,kpa,μmol m-2 s-1,Wm-2,Wm-2,Wm-2,Wm-2,Wm-2,℃,℃,m3 m-3,m3 m-3,m3 m-3,mm
2014,1,1,0,30,0,-14.15,-16.33,83.5,81.9,2.321,2.54,308.3,92.4,0,0,0,245.5,245.5,0,-9.999372,-9.895823,0.034 ,0.060 ,0.081 ,0
2014,1,1,1,0,0,-14.15,-16.33,83.5,81.9,2.321,2.54,308.3,92.4,0,0,0,245.5,245.5,0,-9.999372,-9.895823,0.034 ,0.060 ,0.081 ,0
2014,1,1,1,30,0,-14.36,-16.49,81.5,79.89,3.069,3.366,314.2,92.4,0,NAN,0,244.7,244.7,NAN,-9.99663,-9.892103,0.034 ,0.060 ,0.081 ,0
2014,1,1,2,0,0,-14.57,-16.72,80.4,79.11,2.587,2.89,319.6,92.5,-0.016,NAN,0,243.9,243.9,NAN,-9.9913,-9.889396,0.034 ,0.060 ,0.081 ,0
2014,1,1,2,30,0,-14.86,-16.9,80.7,79.16,2.598,2.818,316.7,92.5,0,NAN,0,242.5,242.5,NAN,-9.980446,-9.875137,0.034 ,0.060 ,0.081 ,0
2014,1,1,3,0,0,-15.18,-17.18,81.2,79.86,1.977,2.247,306.4,92.5,NAN,NAN,0,242.3,242.3,NAN,-9.969251,-9.865435,0.034 ,0.060 ,0.081 ,0
2014,1,1,3,30,0,-15.51,-17.47,79.64,78.48,2.274,2.595,314.6,92.4,NAN,NAN,NAN,NAN,NAN,NAN,-9.961268,-9.860438,0.033 ,0.060 ,0.081 ,0
2014,1,1,4,0,0,-15.85,-17.78,79.15,78.28,1.553,1.744,321.6,92.4,-3.989,10.73,7.951,246.6,246.3,3.065,-9.958856,-9.861246,0.034 ,0.060 ,0.081 ,0
2014,1,1,4,30,0,-16.37,-18.22,75.42,74.12,3.03,3.373,320.8,92.4,-3.925,12.44,9.75,246.2,246,2.867,-9.940694,-9.848913,0.034 ,0.060 ,0.081 ,0
2014,1,1,5,0,0,-17.26,-18.75,74.02,73.05,3.584,3.971,315.5,92.4,NAN,NAN,NAN,NAN,NAN,NAN,-9.936987,-9.843197,0.033 ,0.060 ,0.081 ,0
2014,1,1,5,30,0,-17.87,-19.14,73.75,72.99,3.622,4.042,319.3,92.4,NAN,NAN,NAN,NAN,NAN,NAN,-9.928295,-9.827917,0.034 ,0.060 ,0.081 ,0
2014,1,1,6,0,0,-18.44,-19.47,74.15,73.91,2.828,3.05,321.7,92.4,NAN,NAN,NAN,NAN,NAN,NAN,-9.919559,-9.817818,0.033 ,0.060 ,0.081 ,0
2014,1,1,6,30,0,-18.92,-19.75,73.77,73.87,3.535,3.823,307.8,92.4,NAN,NAN,8.69,240.2,239.9,NAN,-9.915037,-9.807131,0.034 ,0.060 ,0.081 ,0
2014,1,1,7,0,0,-19.22,-20.04,74.24,74.16,3.218,3.466,317.9,92.4,NAN,NAN,NAN,240.1,239.8,NAN,-9.913944,-9.801134,0.033 ,0.060 ,0.081 ,0
2014,1,1,7,30,0,-19.4,-20.35,74.37,73.8,3.648,3.926,323.9,92.4,NAN,12.74,10.18,239.6,239.2,2.98,-9.921535,-9.799672,0.034 ,0.060 ,0.081 ,0
2014,1,1,8,0,0,-19.62,-20.63,73.46,73.29,3.551,3.845,319.8,92.4,NAN,NAN,9.31,237.3,317.4,NAN,-9.914646,-9.80505,0.034 ,0.060 ,0.081 ,0
2014,1,1,8,30,0,-20.48,-20.91,72.76,73.09,3.103,3.37,321.9,92.4,NAN,NAN,NAN,NAN,NAN,NAN,-9.923838,-9.797853,0.033 ,0.060 ,0.081 ,0
2014,1,1,9,0,0,-20.78,-21.06,71.98,72.41,3.169,3.468,333.4,92.4,NAN,NAN,NAN,230.1,386.8,NAN,-9.918283,-9.786925,0.033 ,0.060 ,0.081 ,0
2014,1,1,9,30,0,-21.03,-21.28,70.54,71.19,3.498,3.755,320.3,92.3,NAN,NAN,NAN,NAN,NAN,NAN,-9.91898,-9.790277,0.033 ,0.060 ,0.081 ,0
2014,1,1,10,0,0,-21.25,-21.48,69.49,70.36,4.421,4.594,333.8,92.3,NAN,NAN,1.031,233.9,304.1,NAN,-9.933974,-9.796029,0.033 ,0.060 ,0.081 ,0
2014,1,1,10,30,0,-21.29,-21.54,69.46,70.46,3.645,3.882,338.8,92.3,33.21,NAN,0,245.8,227,NAN,-9.940059,-9.800245,0.033 ,0.060 ,0.081 ,0
2014,1,1,11,0,0,-20.92,-21.22,66.72,68.09,3.827,4.011,335.5,92.3,NAN,NAN,NAN,NAN,NAN,NAN,-9.941381,-9.801237,0.033 ,0.060 ,0.081 ,0
2014,1,1,11,30,0,-20.66,-21.01,64.96,66.32,3.766,3.961,333.8,92.2,NAN,NAN,NAN,NAN,NAN,NAN,-9.945831,-9.798515,0.033 ,0.060 ,0.081 ,0
2014,1,1,12,0,0,-20.34,-20.67,63.4,64.86,4.255,4.498,335.4,92.2,NAN,NAN,10.47,242.4,239.6,NAN,-9.947723,-9.795614,0.033 ,0.060 ,0.081 ,0
2014,1,1,12,30,0,-20.18,-20.49,62.72,64.17,3.687,3.812,331.1,92.1,NAN,NAN,NAN,NAN,NAN,NAN,-9.944942,-9.807357,0.033 ,0.059 ,0.081 ,0
2014,1,1,13,0,0,-19.71,-20.14,61.25,62.84,3.56,3.65,324.7,92.1,NAN,NAN,10.1,242.8,242.3,NAN,-9.945504,-9.800784,0.033 ,0.060 ,0.081 ,0
2014,1,1,13,30,0,-19.75,-20.21,60.14,61.61,4.023,4.259,318.2,92.1,NAN,12.02,9.14,241.7,241.2,3.447,-9.939402,-9.790014,0.033 ,0.060 ,0.081 ,0
2014,1,1,14,0,0,-19.48,-19.9,60.06,61.47,3.45,3.61,318.6,92,NAN,11.43,8.66,243.8,243.4,3.22,-9.928559,-9.789632,0.033 ,0.059 ,0.081 ,0
2014,1,1,14,30,0,-19.41,-19.87,59.61,61.46,2.58,2.739,306.3,92,NAN,NAN,NAN,NAN,NAN,NAN,-9.935502,-9.786447,0.033 ,0.060 ,0.081 ,0
2014,1,1,15,0,0,-19.73,-20.11,60.43,61.88,3.345,3.648,310.3,92,NAN,NAN,NAN,249,237.5,NAN,-9.937633,-9.788015,0.033 ,0.059 ,0.081 ,0
2014,1,1,15,30,0,-19.91,-20.14,60.76,61.8,2.588,2.727,334.7,92,NAN,NAN,NAN,NAN,NAN,NAN,-9.937611,-9.787326,0.033 ,0.060 ,0.081 ,0
2014,1,1,16,0,0,-20.29,-20.48,62.26,63.03,3.5,3.822,315.4,92,NAN,NAN,NAN,NAN,NAN,NAN,-9.936794,-9.784486,0.033 ,0.059 ,0.081 ,0
2014,1,1,16,30,0,-20.66,-20.82,64.1,64.88,1.791,2.02,313.5,92,NAN,NAN,NAN,NAN,NAN,NAN,-9.944516,-9.784995,0.033 ,0.059 ,0.081 ,0
2014,1,1,17,0,0,-21.21,-21.25,66.61,67.31,1.571,1.764,304.5,92.1,NAN,12.64,9.75,233,232.8,3.15,-9.949668,-9.785021,0.033 ,0.059 ,0.081 ,0
2014,1,1,17,30,0,-21.95,-21.81,69.39,69.72,1.317,1.517,310.9,92.1,-3.885,11.92,9,229.8,229.2,3.546,-9.963182,-9.788586,0.033 ,0.060 ,0.081 ,0
2014,1,1,18,0,0,-22.9,-22.4,73.17,72.34,1.258,1.537,290,92.1,-3.999,11.57,8.7,226.6,226,3.49,-9.984888,-9.798704,0.033 ,0.059 ,0.081 ,0
2014,1,1,18,30,0,-22.8,-22.56,72.01,71.99,2.357,2.659,307.8,92.1,NAN,NAN,NAN,NAN,NAN,NAN,-10.01415,-9.809878,0.033 ,0.059 ,0.081 ,0
2014,1,1,19,0,0,-23.11,-22.78,72.83,72.59,1.925,2.182,298.6,92.2,NAN,10.16,7.418,224.9,224.1,3.533,-10.05221,-9.828538,0.033 ,0.060 ,0.080 ,0
2014,1,1,19,30,0,-24.92,-23.39,75.94,74.03,1.423,1.769,291.6,92.2,NAN,9.19,6.148,221.6,221,3.717,-10.10351,-9.856231,0.033 ,0.059 ,0.081 ,0
