年,月,日,时,分,NEE,RE,GPP,LE,Hs
/,/,/,/,/,mg CO2 m-2 s-1,mg CO2 m-2 s-1,mg CO2 m-2 s-1,W m-2,W m-2
2017,1,1,0,30,-0.091352877,2.075730245,0.00000025 ,-12.7046,11.1653
2017,1,1,1,0,-0.09206892,2.092000245,0.00000025 ,25.3849,11.1097
2017,1,1,1,30,-0.091221287,2.072740245,0.00000025 ,-8.56611,11.347
2017,1,1,2,0,-0.093864968,2.132810245,0.00000025 ,88.7408,10.8864
2017,1,1,2,30,-0.101176349,2.298940245,0.00000025 ,29.0679,10.3444
2017,1,1,3,0,-0.096391142,2.190210245,0.00000025 ,89.5253,10.5149
2017,1,1,3,30,-0.096128843,2.184250245,0.00000025 ,89.7172,10.8449
2017,1,1,4,0,-0.098960446,2.248590245,0.00000025 ,88.9658,10.5149
2017,1,1,4,30,-0.101405201,2.304140245,0.00000025 ,87.9258,9.22984
2017,1,1,5,0,-0.178776542,4.062180245,0.00000025 ,11.2741,0.237059
2017,1,1,5,30,-0.299209027,6.798660245,0.00000025 ,87.275,0.734315
2017,1,1,6,0,-0.484800957,11.01570024,0.00000025 ,87.463,2.42413
2017,1,1,6,30,-0.206170566,4.684630245,0.00000025 ,95.9722,5.01136
2017,1,1,7,0,-0.175827872,3.995180245,0.00000025 ,146.334,7.61389
2017,1,1,7,30,-0.261071281,5.932090245,0.00000025 ,266.28,14.3348
2017,1,1,8,0,-0.150310874,3.415380245,0.00000025 ,171.416,9.58715
2017,1,1,8,30,-0.11072828,2.515980245,0.00000025 ,174.942,9.48423
2017,1,1,9,0,-0.192184628,4.366840245,0.00000025 ,216.249,14.578
2017,1,1,9,30,-0.0686534,1.559950245,0.00000025 ,157.137,9.27871
2017,1,1,10,0,-0.125950899,2.861870245,0.00000025 ,175.463,10.3448
2017,1,1,10,30,-0.079982894,1.817380245,0.00000025 ,139.876,9.83501
2017,1,1,11,0,-0.057154027,1.298660278,0.00000028 ,91.3623,6.6854
2017,1,1,11,30,-0.052200701,1.186110307,0.00000031 ,36.6367,4.42629
2017,1,1,12,0,-0.069992184,1.590370334,0.00000033 ,18.7733,0.552394
2017,1,1,12,30,-0.029332181,0.666489366,0.00000037 ,81.0681,1.4269
2017,1,1,13,0,-0.030671141,0.696913402,0.00000040 ,-23.72,1.48245
2017,1,1,13,30,-0.062974349,1.430910437,0.00000044 ,27.8076,-10.0717
2017,1,1,14,0,-0.020871743,0.474250438,0.00000044 ,-7.58424,-3.49294
2017,1,1,14,30,-0.044814943,1.018290416,0.00000042 ,27.8076,-3.64218
2017,1,1,15,0,-0.15346155,3.486970418,0.00000042 ,50.7532,11.7049
2017,1,1,15,30,-0.1041281,2.366010394,0.00000039 ,75.1082,11.2263
2017,1,1,16,0,-0.019459726,0.442166361,0.00000036 ,-9.67812,-3.17468
2017,1,1,16,30,-0.017282023,0.392684343,0.00000034 ,-10.4103,-2.88854
2017,1,1,17,0,-0.01867045,0.424232324,0.00000032 ,-13.6029,-2.12835
2017,1,1,17,30,-0.016885185,0.38366732,0.00000032 ,-24.7485,4.64207
2017,1,1,18,0,-0.008136965,0.184889316,0.00000032 ,-20.6545,7.65294
2017,1,1,18,30,-0.047481949,1.078890312,0.00000031 ,106.76,9.97991
2017,1,1,19,0,-0.161664134,3.673350308,0.00000031 ,-4.53554,7.50602
2017,1,1,19,30,-0.099058148,2.250810304,0.00000030 ,100.98,17.2584
2017,1,1,20,0,-0.061419036,1.3955703,0.00000030 ,46.3594,5.30205
2017,1,1,20,30,-0.052340213,1.189280296,0.00000030 ,-5.09791,8.46353
2017,1,1,21,0,-0.077341854,1.757370292,0.00000029 ,-44.8991,10.4637
