年,月,日,时,分,秒,近地面空气温度,冠层上方空气温度,近地面空气湿度,冠层上方空气湿度,近地面风速,冠层上方风速,风向,大气压,光合有效辐射,向下的短波辐射,向上的短波辐射,向下的长波辐射,向上的长波辐射,净辐射,一层土壤温度,二层土壤温度,一层土壤体积含水量,二层土壤体积含水量,三层土壤体积含水量,降水量
/,/,/,/,/,/,℃,℃,%,%, m s-1,m s-1,Deg,kpa,μmol m-2 s-1,Wm-2,Wm-2,Wm-2,Wm-2,Wm-2,℃,℃,m3 m-3,m3 m-3,m3 m-3,mm
2017,1,1,0,30,0,-31.04,-23.02,72.61,82.2,1.026,1.037,49.1,92.2,0,0,34.09,219.8,215.6,0,-11.69279,-11.30918,0.050 ,0.103 ,0.295 ,0
2017,1,1,1,0,0,-31.03,-22.91,72.6,81.9,0.748,0.865,20.75,92.2,0,0,33.92,219.8,215.6,0,-11.71451,-11.32242,0.050 ,0.103 ,0.295 ,0
2017,1,1,1,30,0,-31.42,-23.14,72.69,80.5,1.145,1.274,33.72,92.2,0.001,0,33.92,219.2,215.8,0,-11.73966,-11.33854,0.050 ,0.103 ,0.295 ,0
2017,1,1,2,0,0,-31.11,-23.49,72.45,79.51,0.4,0.46,8.7,92.2,0,0,30.37,217.2,213.7,0,-11.76228,-11.35597,0.050 ,0.103 ,0.295 ,0
2017,1,1,2,30,0,-31.93,-24.04,71.22,79.64,0.47,0.536,82.7,92.2,0,0,29.68,215.6,211.6,0,-11.78719,-11.3704,0.050 ,0.103 ,0.295 ,0
2017,1,1,3,0,0,-31.81,-23.93,72.49,80.3,0.562,0.583,28.12,92.2,0,0,29.68,215.5,211.3,0,-11.80657,-11.38556,0.050 ,0.103 ,0.295 ,0
2017,1,1,3,30,0,-31.95,-23.77,71.92,80.1,0.773,0.907,11.68,92.2,0,0,29.68,216.7,212.5,0,-11.83212,-11.4062,0.050 ,0.103 ,0.295 ,0
2017,1,1,4,0,0,-32.04,-23.95,71.76,79.44,0.327,0.753,38.05,92.2,0,0,29.68,216.6,212.4,0,-11.84998,-11.42087,0.050 ,0.103 ,0.295 ,0
2017,1,1,4,30,0,-32.03,-24.13,72.17,79.23,0.701,0.87,7.237,92.2,0,0,29.3,215.6,212,0,-11.87015,-11.43533,0.050 ,0.103 ,0.295 ,0
2017,1,1,5,0,0,-31.45,-24.19,72.48,79.1,0.222,0.386,19.34,92.1,0.001,0,25.51,213.5,210.4,0,-11.89381,-11.4532,0.050 ,0.103 ,0.295 ,0
2017,1,1,5,30,0,-32.04,-23.97,71.76,79.14,0.514,0.403,44.68,92.1,0,0,25.04,215.1,210.8,0,-11.90639,-11.46644,0.050 ,0.103 ,0.295 ,0
2017,1,1,6,0,0,-31.86,-23.94,72.21,79.31,0.349,0,0,92.1,0,0,22.53,215.3,211.1,0,-11.92713,-11.48055,0.050 ,0.103 ,0.295 ,0
2017,1,1,6,30,0,-31.8,-24.05,71.57,78.88,0.656,0,0,92.1,0,0,21.2,214.9,210.7,0,-11.93767,-11.49739,0.050 ,0.103 ,0.295 ,0
2017,1,1,7,0,0,-31.95,-24,71.97,79.03,0.603,0,0,92.1,0.001,0,21.2,214.4,210.2,0,-11.95549,-11.50595,0.050 ,0.103 ,0.295 ,0
2017,1,1,7,30,0,-32.22,-24.18,71.54,78.64,0.3,0,0,92.1,0,0,17.81,212.9,210,0,-11.96908,-11.52043,0.050 ,0.103 ,0.295 ,0
2017,1,1,8,0,0,-31.7,-24.09,72.28,78.72,0.392,0,0,92.1,0.001,0,11.98,215.2,211,0,-11.9759,-11.53409,0.050 ,0.103 ,0.295 ,0
2017,1,1,8,30,0,-31.62,-23.77,71.72,78.89,0.571,0,0,92.1,0.445,2.954,7.095,217.2,212.9,0.126,-11.98569,-11.54643,0.050 ,0.103 ,0.295 ,0
2017,1,1,9,0,0,-30.8,-23.82,72.79,78.36,0.409,0,0,92.2,3.57,9.41,4.777,218.5,214.2,1.544,-11.98913,-11.55294,0.050 ,0.103 ,0.295 ,0
2017,1,1,9,30,0,-29.63,-23.29,73.09,78.2,0.606,0.575,49.21,92.1,11.35,27.97,3.703,224.3,217.4,5.836,-11.97923,-11.55744,0.050 ,0.103 ,0.295 ,0
2017,1,1,10,0,0,-28.37,-22.92,72.73,77.81,0.426,0.461,42.29,92.1,25.87,63.3,8.52,237,220.8,14.16,-11.96485,-11.56048,0.050 ,0.103 ,0.295 ,0
2017,1,1,10,30,0,-26.82,-22.25,72.82,77.58,0.474,0.546,30.42,92.1,53.23,141.7,4.24,260.7,226.3,30.06,-11.93939,-11.55511,0.050 ,0.103 ,0.295 ,0
2017,1,1,11,0,0,-23.66,-21.04,71.49,78.85,0.513,0.512,13.66,92.1,92.3,165.8,9.73,271.5,234.6,49.88,-11.90802,-11.54632,0.050 ,0.103 ,0.295 ,0
2017,1,1,11,30,0,-20.72,-20.12,68.53,78.75,0.608,0.599,311.8,92.1,125.1,169.7,17.18,272.1,238.2,66.79,-11.87365,-11.53558,0.050 ,0.104 ,0.296 ,0
2017,1,1,12,0,0,-19.36,-19.36,65.3,77.34,0.896,0.905,164.6,92,84,186.8,30.2,274.5,239.5,47.99,-11.82885,-11.5198,0.050 ,0.104 ,0.296 ,0
2017,1,1,12,30,0,-18.15,-18.03,62.66,71.87,0.944,0.897,130.9,92,104.7,264.3,43.41,285.8,242.8,69.2,-11.77765,-11.49794,0.050 ,0.104 ,0.296 ,0
2017,1,1,13,0,0,-16.94,-17.04,60.86,67.38,1.25,1.225,138.8,91.9,107.1,315.5,65.7,288.3,245.9,78.7,-11.7227,-11.47108,0.050 ,0.104 ,0.295 ,0
2017,1,1,13,30,0,-15.75,-15.58,58,65.77,1.037,1.096,134.6,91.9,101.4,395.4,83.8,289.5,250.4,78.13,-11.67149,-11.44378,0.050 ,0.104 ,0.296 ,0
2017,1,1,14,0,0,-15.19,-14.64,57.92,64.09,1.232,1.246,140.8,91.9,86.8,337.6,89.7,289.9,256,71.33,-11.62386,-11.41399,0.050 ,0.104 ,0.295 ,0
2017,1,1,14,30,0,-15.6,-14.65,57.66,62.89,1.741,1.778,152,91.9,91.4,260.7,93.2,289,258.5,65.82,-11.5794,-11.38404,0.050 ,0.103 ,0.295 ,0
2017,1,1,15,0,0,-16.1,-14.85,60.15,62.51,2.033,2.074,170.2,91.9,50.38,164.8,93.2,281.1,257.5,50.37,-11.54114,-11.3567,0.050 ,0.103 ,0.296 ,0
2017,1,1,15,30,0,-17.22,-15.19,64.57,61.66,2.059,2.232,171.4,91.9,23.86,94,89,270.3,253.8,23.57,-11.50039,-11.32325,0.050 ,0.104 ,0.295 ,0
