,因子1,因子2,因子3,因子4,因子5
近地面空气温度,0.878,0.142,0.068,-0.068,-0.135
冠层上方空气温度,0.865,-0.013,0.028,-0.124,-0.193
近地面空气湿度,-0.172,-0.702,-0.31,0.475,-0.12
冠层上方空气湿度,-0.201,-0.505,-0.232,0.788,-0.047
近地面风速,0.364,0.902,-0.216,0.037,-0.0
冠层上方风速,0.343,0.906,-0.233,0.027,-0.0
风向,-0.229,0.4,-0.047,-0.191,-0.249
大气压,-0.452,-0.201,0.242,-0.003,0.257
光合有效辐射,0.449,0.535,0.691,0.105,0.019
向上的短波辐射,-0.067,0.357,0.305,-0.489,-0.472
净辐射,0.419,0.55,0.707,0.105,-0.009
一层土壤温度,0.992,-0.117,-0.009,-0.002,0.015
二层土壤温度,0.989,-0.137,-0.025,-0.003,-0.004
一层土壤体积含水量,0.403,0.07,-0.002,-0.153,-0.491
二层土壤体积含水量,0.605,-0.057,0.028,-0.084,-0.692
三层土壤体积含水量,0.521,-0.275,-0.106,0.256,0.398
降水量,0.084,-0.003,-0.032,0.109,-0.092
